bucket,method,k,silhouette
dense,kmeans,3,0.3476278323428483
dense,gmm,3,0.21692898630051413
dense,kmeans,6,0.13805104198152732
dense,kmeans,8,0.13800166256909469
dense,kmeans,5,0.13679539933560328
dense,kmeans,4,0.13529950218494632
dense,gmm,4,0.04688952769990331
dense,gmm,5,0.036708833236526905
dense,gmm,6,0.00040980766552921734
dense,gmm,8,-0.02736694254783646
dense,dbscan_eps0.3,0,-1.0
dense,dbscan_eps0.5,0,-1.0
dense,dbscan_eps0.8,0,-1.0
dense,hdbscan_mcs30,0,-1.0
dense,hdbscan_mcs50,0,-1.0
dense,hdbscan_mcs100,0,-1.0
high_zero,kmeans,3,0.24938945516046754
high_zero,kmeans,4,0.22014479786544225
high_zero,kmeans,5,0.21840544985528765
high_zero,kmeans,8,0.1737766934483424
high_zero,kmeans,6,0.1710512946514812
high_zero,gmm,3,0.1015758844937397
high_zero,gmm,4,0.101459171241194
high_zero,gmm,6,0.0909301888355372
high_zero,gmm,5,0.05156066804284036
high_zero,gmm,8,0.034862478954068556
high_zero,dbscan_eps0.3,0,-1.0
high_zero,dbscan_eps0.5,0,-1.0
high_zero,dbscan_eps0.8,0,-1.0
high_zero,hdbscan_mcs30,0,-1.0
high_zero,hdbscan_mcs50,0,-1.0
high_zero,hdbscan_mcs100,0,-1.0
moderate_zero,kmeans,3,0.24631375010789813
moderate_zero,kmeans,5,0.24422957166301423
moderate_zero,kmeans,4,0.24277834628656647
moderate_zero,kmeans,6,0.2181481290092592
moderate_zero,kmeans,8,0.18234968556385125
moderate_zero,gmm,3,0.17717211085814136
moderate_zero,gmm,4,0.1715067774690757
moderate_zero,gmm,8,0.08892933758708133
moderate_zero,gmm,6,0.07665671999264216
moderate_zero,gmm,5,0.02231498415942735
moderate_zero,dbscan_eps0.3,0,-1.0
moderate_zero,dbscan_eps0.5,0,-1.0
moderate_zero,dbscan_eps0.8,0,-1.0
moderate_zero,hdbscan_mcs30,0,-1.0
moderate_zero,hdbscan_mcs50,0,-1.0
moderate_zero,hdbscan_mcs100,0,-1.0
