ID,RefinedCluster
22,1
42,3
56,3
58,1
64,2
88,3
95,3
163,1
198,1
202,2
209,3
218,3
223,3
228,1
245,2
246,2
322,8
325,2
342,1
344,1
352,3
358,8
362,3
451,0
471,3
474,3
500,3
518,0
519,3
545,3
559,3
602,2
604,3
611,1
618,3
635,3
654,3
664,3
675,1
720,0
728,2
774,3
804,2
810,3
823,3
827,3
841,0
860,2
871,3
873,3
885,2
890,3
895,3
896,0
901,3
903,3
965,3
989,3
992,0
1001,3
1013,2
1019,2
1029,1
1035,0
1091,0
1099,2
1109,0
1118,2
1124,3
1154,3
1169,0
1180,3
1185,1
1195,1
1199,0
1216,1
1224,3
1236,1
1248,2
1258,0
1271,1
1383,1
1410,0
1420,1
1423,2
1432,1
1441,2
1451,1
1467,3
1501,3
1507,1
1518,3
1526,1
1530,3
1531,1
1548,0
1563,0
1566,9
1567,3
1577,4
1580,1
1596,2
1640,6
1645,1
1648,1
1653,2
1685,0
1687,2
1691,2
1708,2
1710,1
1732,8
1739,1
1745,0
1768,1
1786,2
1788,0
1803,3
1810,0
1812,1
1820,3
1834,0
1841,2
1853,0
1858,2
1861,0
1892,3
1893,0
1906,3
1907,2
1910,5
1923,2
1957,3
1959,2
1979,2
1981,2
1998,3
2002,0
2064,4
2102,3
2111,3
2115,3
2194,0
2219,4
2220,1
2233,3
2246,3
2252,3
2313,3
2319,1
2341,2
2346,2
2374,2
2433,3
2453,0
2466,3
2467,1
2495,1
2497,3
2506,1
2516,7
2537,3
2550,3
2551,1
2586,3
2596,2
2599,3
2609,3
2614,1
2615,2
2621,1
2641,3
2678,2
2693,1
2699,2
2748,2
2751,0
2752,0
2764,0
2792,3
2846,4
2850,0
2865,2
2868,3
2874,0
2935,3
2938,0
2944,3
2947,3
2960,3
2989,1
3007,0
3036,3
3052,1
3062,3
3073,3
3074,3
3080,3
3085,0
3124,1
3134,3
3135,3
3137,2
3150,0
3205,3
3219,1
3220,0
3230,3
3258,3
3267,3
3289,3
3294,3
3310,3
3313,2
3366,3
3367,1
3377,3
3386,0
3387,3
3405,2
3410,3
3427,3
3433,0
3447,3
3454,2
3456,2
3467,0
3487,0
3506,0
3546,2
3614,3
3657,0
3658,2
3660,1
3691,1
3719,2
3732,2
3747,0
3770,3
3787,3
3793,3
3823,3
3863,2
3884,2
3895,3
3901,1
3908,3
3914,3
3961,1
3966,3
3969,2
3976,0
3979,0
4064,2
4069,1
4107,3
4141,1
4158,3
4161,3
4167,3
4172,0
4178,3
4189,3
4190,1
4202,1
4205,2
4213,3
4268,2
4294,1
4295,1
4352,3
4355,0
4370,2
4376,0
4383,1
4394,3
4400,1
4405,1
4438,7
4445,0
4448,2
4477,3
4488,2
4529,3
4533,1
4563,2
4564,1
4573,2
4578,1
4671,3
4672,3
4702,3
4735,3
4744,0
4754,3
4756,2
4758,0
4780,1
4785,3
4814,4
4816,2
4825,1
4847,3
4855,3
4858,3
4918,1
4953,3
4969,0
4989,1
5011,3
5027,2
5029,3
5033,3
5036,0
5061,0
5062,1
5119,2
5168,0
5173,1
5202,1
5205,1
5228,2
5238,0
5243,3
5259,3
5270,1
5297,3
5331,1
5343,1
5352,1
5353,2
5373,3
5424,2
5438,0
5451,3
5465,0
5472,3
5489,3
5494,0
5541,3
5544,2
5546,1
5582,2
5584,0
5587,2
5618,3
5629,3
5651,3
5655,1
5660,1
5685,0
5696,1
5717,3
5778,1
5799,2
5804,2
5805,3
5820,1
5846,6
5873,3
5874,2
5880,1
5926,1
5946,2
5965,1
5976,2
6009,0
6017,0
6043,3
6058,3
6063,0
6097,0
6127,3
6130,3
6153,2
6158,0
6172,0
6215,3
6217,2
6220,3
6227,1
6232,3
6233,8
6244,3
6246,2
6284,3
6285,0
6289,0
6339,1
6353,3
6354,3
6391,3
6408,3
6410,3
6447,3
6457,2
6461,3
6463,1
6475,2
6481,4
6504,0
6524,3
6525,0
6527,2
6559,3
6592,3
6594,1
6623,1
6640,0
6641,2
6656,3
6665,2
6670,7
6718,3
6773,1
6831,1
6837,3
6848,0
6860,3
6873,3
6909,3
6911,1
6920,0
6921,0
6934,1
6955,3
6988,3
7005,3
7047,1
7092,1
7095,0
7165,3
7168,3
7181,0
7213,3
7222,0
7241,3
7285,1
7289,3
7296,0
7297,3
7322,1
7324,2
7334,2
7363,3
7371,3
7373,2
7390,1
7420,3
7436,2
7460,3
7465,2
7471,4
7478,3
7523,0
7537,3
7558,0
7581,3
7588,2
7599,1
7603,0
7613,4
7665,3
7680,3
7690,1
7698,3
7730,3
7747,0
7753,3
7788,0
7799,2
7835,0
7862,0
7919,1
7941,1
7945,1
7969,3
7979,3
7982,3
7987,2
7989,1
8007,3
8008,3
8022,1
8057,3
8079,3
8080,2
8081,2
8099,2
8104,2
8112,0
8117,0
8122,3
8140,1
8175,3
8208,4
8224,3
8231,2
8247,2
8266,1
8278,0
8280,1
8288,3
8324,1
8344,3
8345,3
8382,0
8415,2
8417,3
8427,3
8447,2
8473,0
8488,2
8513,2
8518,0
8521,3
8531,1
8543,0
8562,3
8597,2
8605,0
8672,3
8696,3
8729,1
8763,3
8770,2
8793,3
8822,4
8832,1
8849,2
8877,2
8886,3
8891,3
8896,1
8919,3
8922,3
8937,2
8972,3
9002,3
9031,1
9067,3
9078,3
9121,0
9135,0
9153,1
9154,1
9160,2
9164,1
9165,2
9196,1
9204,3
9241,3
9289,2
9305,0
9328,2
9342,3
9368,3
9401,0
9403,0
9409,2
9453,2
9461,3
9465,0
9510,0
9524,2
9564,1
9678,3
9706,0
9730,2
9736,3
9752,0
9797,1
9810,2
9845,2
9859,2
9946,2
9965,3
10001,0
10012,1
10030,0
10041,3
10042,3
10047,3
10053,3
10061,2
10081,0
10108,2
10111,3
10115,0
10152,8
10161,3
10177,8
10178,0
10180,0
10190,3
10204,0
10216,0
10241,2
10257,0
10268,3
10290,3
10293,1
10349,3
10426,2
10441,3
10447,3
10452,0
10498,1
10500,3
10521,1
10538,2
10541,2
10554,0
10569,1
10597,1
10613,2
10629,1
10634,0
10640,3
10651,0
