ID,cluster
22,2
42,0
56,0
58,1
64,2
88,0
95,2
163,2
198,1
202,2
209,2
218,2
223,0
228,2
245,2
246,2
322,2
325,2
342,2
344,1
352,2
358,2
362,0
451,2
471,2
474,2
500,0
518,2
519,2
545,2
559,2
602,2
604,2
611,2
618,0
635,2
654,0
664,2
675,1
720,2
728,2
774,0
804,2
810,2
823,2
827,2
841,1
860,2
871,0
873,1
885,2
890,0
895,0
896,1
901,2
903,2
965,2
989,2
992,2
1001,0
1013,2
1019,2
1029,2
1035,0
1091,2
1099,0
1109,2
1118,2
1124,0
1154,2
1169,2
1180,0
1185,2
1195,2
1199,2
1216,2
1224,0
1236,1
1248,2
1258,2
1271,1
1383,2
1410,1
1420,2
1423,2
1432,1
1441,2
1451,2
1467,2
1501,2
1507,2
1518,2
1526,2
1530,2
1531,2
1548,2
1563,2
1566,1
1567,2
1577,1
1580,2
1596,1
1640,0
1645,2
1648,2
1653,2
1685,2
1687,0
1691,1
1708,2
1710,2
1732,2
1739,2
1745,2
1768,2
1786,2
1788,1
1803,2
1810,2
1812,1
1820,0
1834,2
1841,2
1853,2
1858,2
1861,2
1892,2
1893,1
1906,0
1907,2
1910,2
1923,1
1957,0
1959,2
1979,2
1981,2
1998,0
2002,2
2064,1
2102,2
2111,2
2115,2
2194,2
2219,1
2220,1
2233,0
2246,2
2252,1
2313,0
2319,1
2341,2
2346,2
2374,2
2433,2
2453,2
2466,2
2467,1
2495,1
2497,2
2506,2
2516,0
2537,2
2550,2
2551,2
2586,0
2596,2
2599,0
2609,2
2614,2
2615,2
2621,2
2641,0
2678,2
2693,2
2699,2
2748,2
2751,1
2752,1
2764,2
2792,2
2846,1
2850,2
2865,2
2868,2
2874,2
2935,0
2938,2
2944,2
2947,0
2960,0
2989,2
3007,2
3036,0
3052,2
3062,0
3073,2
3074,2
3080,2
3085,2
3124,2
3134,0
3135,0
3137,2
3150,2
3205,2
3219,2
3220,2
3230,2
3258,0
3267,0
3289,2
3294,0
3310,2
3313,1
3366,2
3367,1
3377,2
3386,2
3387,2
3405,2
3410,2
3427,0
3433,1
3447,2
3454,2
3456,2
3467,2
3487,2
3506,2
3546,0
3614,2
3657,2
3658,2
3660,1
3691,2
3719,2
3732,2
3747,2
3770,0
3787,2
3793,2
3823,2
3863,2
3884,2
3895,2
3901,2
3908,2
3914,2
3961,1
3966,2
3969,2
3976,1
3979,2
4064,2
4069,2
4107,0
4141,2
4158,2
4161,2
4167,2
4172,2
4178,0
4189,0
4190,1
4202,2
4205,2
4213,2
4268,2
4294,2
4295,2
4352,0
4355,2
4370,2
4376,2
4383,2
4394,2
4400,2
4405,1
4438,4
4445,1
4448,2
4477,2
4488,1
4529,2
4533,2
4563,2
4564,1
4573,1
4578,2
4671,2
4672,2
4702,2
4735,0
4744,1
4754,0
4756,2
4758,2
4780,1
4785,2
4814,1
4816,2
4825,2
4847,2
4855,0
4858,0
4918,1
4953,2
4969,2
4989,2
5011,0
5027,2
5029,2
5033,2
5036,2
5061,1
5062,2
5119,2
5168,2
5173,2
5202,2
5205,2
5228,2
5238,1
5243,2
5259,2
5270,2
5297,2
5331,2
5343,2
5352,1
5353,2
5373,0
5424,2
5438,1
5451,2
5465,2
5472,0
5489,0
5494,2
5541,2
5544,2
5546,2
5582,2
5584,2
5587,2
5618,0
5629,2
5651,0
5655,1
5660,2
5685,2
5696,2
5717,0
5778,1
5799,2
5804,1
5805,0
5820,2
5846,0
5873,2
5874,2
5880,2
5926,2
5946,2
5965,2
5976,2
6009,2
6017,2
6043,2
6058,2
6063,2
6097,1
6127,0
6130,0
6153,2
6158,2
6172,1
6215,2
6217,0
6220,0
6227,2
6232,2
6233,2
6244,2
6246,1
6284,2
6285,2
6289,2
6339,2
6353,2
6354,2
6391,0
6408,0
6410,2
6447,2
6457,2
6461,2
6463,2
6475,1
6481,1
6504,2
6524,2
6525,2
6527,2
6559,1
6592,0
6594,2
6623,2
6640,2
6641,2
6656,2
6665,2
6670,0
6718,2
6773,2
6831,2
6837,2
6848,2
6860,0
6873,0
6909,2
6911,2
6920,0
6921,2
6934,2
6955,2
6988,2
7005,0
7047,2
7092,1
7095,2
7165,0
7168,0
7181,2
7213,2
7222,2
7241,2
7285,2
7289,2
7296,2
7297,0
7322,2
7324,2
7334,2
7363,1
7371,2
7373,2
7390,2
7420,0
7436,2
7460,2
7465,1
7471,1
7478,2
7523,2
7537,2
7558,1
7581,0
7588,2
7599,2
7603,2
7613,1
7665,0
7680,0
7690,2
7698,0
7730,2
7747,2
7753,2
7788,2
7799,2
7835,1
7862,2
7919,2
7941,2
7945,2
7969,2
7979,0
7982,0
7987,2
7989,2
8007,2
8008,2
8022,2
8057,2
8079,0
8080,2
8081,2
8099,2
8104,2
8112,2
8117,2
8122,2
8140,2
8175,2
8208,1
8224,2
8231,2
8247,2
8266,1
8278,2
8280,1
8288,0
8324,1
8344,2
8345,2
8382,2
8415,2
8417,1
8427,2
8447,2
8473,2
8488,2
8513,2
8518,1
8521,2
8531,2
8543,2
8562,2
8597,2
8605,0
8672,2
8696,0
8729,2
8763,0
8770,2
8793,0
8822,1
8832,0
8849,2
8877,2
8886,2
8891,2
8896,1
8919,2
8922,1
8937,2
8972,2
9002,2
9031,1
9067,2
9078,1
9121,2
9135,2
9153,1
9154,2
9160,2
9164,2
9165,0
9196,2
9204,2
9241,0
9289,2
9305,2
9328,2
9342,0
9368,2
9401,2
9403,2
9409,2
9453,2
9461,1
9465,2
9510,2
9524,2
9564,1
9678,2
9706,2
9730,2
9736,0
9752,2
9797,2
9810,2
9845,2
9859,2
9946,2
9965,0
10001,2
10012,2
10030,2
10041,2
10042,0
10047,0
10053,0
10061,2
10081,2
10108,2
10111,0
10115,2
10152,2
10161,2
10177,2
10178,2
10180,2
10190,2
10204,2
10216,2
10241,2
10257,1
10268,2
10290,2
10293,2
10349,2
10426,2
10441,2
10447,0
10452,2
10498,2
10500,2
10521,2
10538,2
10541,2
10554,2
10569,1
10597,1
10613,2
10629,2
10634,1
10640,0
10651,2
10664,2
10671,2
10685,2
10687,2
10689,2
10692,2
10698,1
10701,0
10703,2
10712,1
10730,2
10738,1
10741,2
10770,2
10830,1
10838,2
10840,2
10858,2
10873,2
10880,2
10891,2
10908,1
10924,2
10931,1
10938,2
10982,2
10989,1
10990,2
10996,2
10999,2
11024,2
11026,0
11049,2
11053,2
11077,2
11094,2
11098,2
11103,2
11106,2
11109,2
11116,0
11134,2
11144,2
11174,2
11195,2
11215,2
11217,2
11231,2
11245,2
11284,2
11290,2
11291,0
11301,2
11315,2
11338,2
11346,2
11350,2
11368,2
11409,0
11424,2
11428,2
11447,2
11472,2
11486,2
11536,2
11575,2
11608,2
11625,1
11628,2
11656,2
11667,1
11694,2
11695,2
11699,2
11700,2
11701,0
11705,2
11714,2
11717,2
11761,2
11772,2
11793,0
11800,2
11817,2
11886,2
11899,0
11923,2
11935,2
11936,2
11983,2
12015,0
12016,0
12070,2
12083,2
12101,2
12128,2
12138,2
12195,2
12207,0
12215,2
12243,1
12303,2
12308,2
12316,2
12321,0
12329,2
12360,1
12362,2
12371,2
12389,2
12406,2
12416,2
12454,1
12491,0
12514,2
12583,2
12591,2
12594,2
12615,1
12619,2
12634,2
12697,2
12702,2
12710,1
12730,2
12750,2
12765,2
12777,2
12778,2
12782,2
12814,2
12817,2
12823,2
12837,2
12842,2
12886,2
12905,2
12927,1
12930,2
12931,2
12936,2
12939,2
12955,2
12978,0
12989,2
12999,2
13013,0
13022,2
13025,2
13071,2
13080,2
13102,2
13109,1
13135,2
13142,2
13152,2
13161,2
13173,2
13251,2
13256,2
13271,2
13272,2
13287,2
13299,0
13325,2
13331,2
13334,0
13361,2
13367,2
13401,2
13425,2
13433,2
13440,0
13450,1
13466,2
13473,1
13484,2
13498,2
13510,2
