ID,cluster
22,0
42,4
56,4
58,4
64,4
88,4
95,4
163,3
198,2
202,4
209,6
218,4
223,4
228,2
245,4
246,0
322,4
325,1
342,2
344,3
352,0
358,0
362,4
451,1
471,4
474,4
500,4
518,3
519,4
545,4
559,3
602,0
604,4
611,1
618,4
635,4
654,4
664,4
675,2
720,6
728,4
774,4
804,4
810,4
823,4
827,4
841,4
860,2
871,4
873,4
885,2
890,4
895,3
896,2
901,4
903,4
965,4
989,4
992,4
1001,4
1013,6
1019,2
1029,2
1035,4
1091,6
1099,0
1109,5
1118,2
1124,4
1154,4
1169,1
1180,4
1185,0
1195,3
1199,4
1216,4
1224,0
1236,2
1248,4
1258,2
1271,2
1383,3
1410,3
1420,3
1423,1
1432,3
1441,4
1451,3
1467,4
1501,4
1507,2
1518,4
1526,3
1530,4
1531,1
1548,2
1563,4
1566,4
1567,4
1577,3
1580,3
1596,2
1640,3
1645,3
1648,3
1653,4
1685,4
1687,3
1691,4
1708,0
1710,3
1732,4
1739,3
1745,4
1768,4
1786,4
1788,2
1803,4
1810,4
1812,3
1820,4
1834,3
1841,1
1853,4
1858,4
1861,4
1892,5
1893,5
1906,4
1907,1
1910,4
1923,4
1957,4
1959,2
1979,2
1981,2
1998,4
2002,2
2064,5
2102,4
2111,4
2115,4
2194,4
2219,4
2220,3
2233,4
2246,4
2252,4
2313,4
2319,3
2341,2
2346,2
2374,4
2433,2
2453,2
2466,4
2467,2
2495,2
2497,4
2506,3
2516,0
2537,4
2550,4
2551,3
2586,4
2596,1
2599,4
2609,4
2614,3
2615,4
2621,2
2641,4
2678,4
2693,2
2699,4
2748,0
2751,4
2752,2
2764,2
2792,4
2846,1
2850,4
2865,4
2868,4
2874,2
2935,4
2938,4
2944,4
2947,4
2960,4
2989,3
3007,5
3036,4
3052,3
3062,4
3073,4
3074,4
3080,4
3085,4
3124,3
3134,4
3135,4
3137,4
3150,1
3205,4
3219,3
3220,6
3230,4
3258,4
3267,4
3289,4
3294,4
3310,4
3313,4
3366,4
3367,3
3377,4
3386,5
3387,4
3405,4
3410,4
3427,4
3433,2
3447,4
3454,4
3456,4
3467,4
3487,2
3506,4
3546,4
3614,4
3657,1
3658,4
3660,4
3691,1
3719,4
3732,0
3747,3
3770,4
3787,4
3793,4
3823,4
3863,1
3884,2
3895,4
3901,4
3908,4
3914,4
3961,2
3966,4
3969,2
3976,4
3979,2
4064,4
4069,3
4107,4
4141,3
4158,4
4161,4
4167,4
4172,4
4178,4
4189,4
4190,4
4202,2
4205,4
4213,4
4268,4
4294,3
4295,3
4352,4
4355,2
4370,2
4376,2
4383,3
4394,4
4400,2
4405,2
4438,2
4445,3
4448,4
4477,4
4488,2
4529,2
4533,3
4563,1
4564,3
4573,5
4578,2
4671,4
4672,4
4702,4
4735,4
4744,0
4754,4
4756,4
4758,1
4780,5
4785,4
4814,3
4816,6
4825,3
4847,4
4855,4
4858,4
4918,2
4953,4
4969,3
4989,4
5011,4
5027,2
5029,4
5033,4
5036,4
5061,3
5062,3
5119,2
5168,4
5173,4
5202,4
5205,4
5228,4
5238,2
5243,4
5259,4
5270,3
5297,4
5331,2
5343,4
5352,3
5353,6
5373,4
5424,1
5438,1
5451,4
5465,2
5472,4
5489,4
5494,3
5541,4
5544,4
5546,3
5582,4
5584,3
5587,4
5618,4
5629,2
5651,4
5655,3
5660,2
5685,3
5696,4
5717,6
5778,4
5799,1
5804,2
5805,4
5820,4
5846,5
5873,4
5874,2
5880,4
5926,6
5946,4
5965,3
5976,3
6009,2
6017,4
6043,4
6058,4
6063,3
6097,5
6127,4
6130,4
6153,4
6158,4
6172,3
6215,4
6217,4
6220,4
6227,3
6232,4
6233,4
6244,4
6246,4
6284,4
6285,1
6289,3
6339,3
6353,4
6354,4
6391,4
6408,4
6410,4
6447,4
6457,4
6461,4
