ID,cluster
22,6
42,4
56,4
58,3
64,0
88,4
95,4
163,5
198,3
202,4
209,6
218,4
223,4
228,3
245,2
246,0
322,4
325,2
342,3
344,5
352,4
358,0
362,4
451,0
471,4
474,4
500,4
518,5
519,4
545,4
559,6
602,2
604,4
611,3
618,4
635,4
654,4
664,4
675,3
720,1
728,3
774,4
804,4
810,4
823,4
827,4
841,3
860,4
871,4
873,4
885,4
890,4
895,5
896,3
901,4
903,4
965,4
989,4
992,4
1001,4
1013,6
1019,4
1029,4
1035,4
1091,0
1099,5
1109,4
1118,3
1124,4
1154,4
1169,2
1180,4
1185,0
1195,5
1199,4
1216,4
1224,5
1236,3
1248,4
1258,0
1271,3
1383,5
1410,5
1420,5
1423,2
1432,3
1441,2
1451,5
1467,4
1501,4
1507,3
1518,4
1526,6
1530,4
1531,5
1548,3
1563,3
1566,4
1567,4
1577,5
1580,5
1596,6
1640,6
1645,5
1648,5
1653,4
1685,4
1687,6
1691,4
1708,4
1710,6
1732,4
1739,5
1745,4
1768,4
1786,4
1788,3
1803,4
1810,4
1812,5
1820,4
1834,5
1841,2
1853,2
1858,4
1861,4
1892,3
1893,3
1906,4
1907,2
1910,4
1923,4
1957,4
1959,0
1979,4
1981,2
1998,4
2002,4
2064,1
2102,4
2111,4
2115,4
2194,3
2219,4
2220,3
2233,4
2246,4
2252,4
2313,4
2319,5
2341,2
2346,3
2374,4
2433,0
2453,3
2466,4
2467,3
2495,3
2497,1
2506,5
2516,5
2537,4
2550,4
2551,5
2586,4
2596,3
2599,4
2609,4
2614,5
2615,4
2621,3
2641,4
2678,0
2693,3
2699,4
2748,1
2751,0
2752,4
2764,3
2792,4
2846,5
2850,4
2865,4
2868,4
2874,4
2935,4
2938,1
2944,4
2947,4
2960,4
2989,5
3007,3
3036,4
3052,5
3062,4
3073,4
3074,4
3080,4
3085,2
3124,5
3134,4
3135,4
3137,2
3150,5
3205,4
3219,5
3220,0
3230,4
3258,4
3267,4
3289,4
3294,4
3310,1
3313,1
3366,4
3367,3
3377,4
3386,3
3387,4
3405,4
3410,4
3427,4
3433,0
3447,4
3454,4
3456,2
3467,4
3487,3
3506,4
3546,4
3614,4
3657,1
3658,4
3660,4
3691,5
3719,4
3732,5
3747,5
3770,4
3787,4
3793,4
3823,4
3863,0
3884,4
3895,4
3901,4
3908,4
3914,4
3961,3
3966,4
3969,0
3976,4
3979,6
4064,4
4069,5
4107,4
4141,5
4158,4
4161,4
4167,4
4172,4
4178,4
4189,4
4190,4
4202,0
4205,4
4213,4
4268,4
4294,5
4295,5
4352,4
4355,4
4370,4
4376,3
4383,5
4394,4
4400,3
4405,3
4438,6
4445,5
4448,4
4477,4
4488,4
4529,4
4533,5
4563,3
4564,5
4573,3
4578,3
4671,4
4672,4
4702,4
4735,4
4744,1
4754,1
4756,4
4758,3
4780,3
4785,4
4814,5
4816,4
4825,3
4847,4
4855,4
4858,4
4918,3
4953,4
4969,5
4989,4
5011,4
5027,3
5029,4
5033,4
5036,4
5061,5
5062,5
5119,4
5168,4
5173,4
5202,4
5205,4
5228,4
5238,3
5243,4
5259,4
5270,5
5297,4
5331,4
5343,0
5352,5
5353,4
5373,4
5424,3
5438,5
5451,4
5465,3
5472,4
5489,4
5494,2
5541,4
5544,6
5546,5
5582,4
5584,3
5587,4
5618,4
5629,4
5651,4
5655,5
5660,4
5685,5
5696,4
5717,1
5778,3
5799,0
5804,4
5805,4
5820,4
5846,3
5873,4
5874,3
5880,0
5926,6
5946,4
5965,5
5976,6
6009,4
6017,4
6043,4
6058,4
6063,5
6097,3
6127,4
6130,4
6153,4
6158,4
6172,5
6215,4
6217,4
6220,4
6227,5
6232,4
6233,4
6244,4
6246,4
6284,1
6285,2
6289,1
6339,5
6353,4
6354,4
6391,4
6408,4
6410,4
6447,4
6457,4
6461,4
6463,3
6475,6
6481,4
6504,1
6524,1
6525,5
6527,4
6559,4
6592,4
6594,5
6623,5
6640,5
6641,4
6656,4
6665,4
6670,4
6718,4
6773,3
6831,4
6837,4
6848,0
6860,4
6873,4
6909,4
6911,5
6920,6
6921,5
6934,5
6955,4
6988,4
7005,4
7047,5
7092,3
7095,5
7165,1
7168,4
7181,4
7190,2
7213,4
7222,5
7241,3
7285,4
7289,4
7296,4
7297,4
7322,5
7324,2
7334,4
7363,4
7371,4
7373,6
7390,3
7420,4
7433,2
7436,4
7460,4
7465,3
7471,4
7478,4
7523,4
7537,4
7558,3
7581,4
7588,3
7599,5
7603,2
7613,6
7665,4
7680,4
7690,4
7698,4
7730,4
7747,2
7753,4
7788,5
7799,3
7835,2
7862,4
7919,3
7941,5
7945,3
7969,4
7979,4
7982,4
7987,4
7989,5
8007,4
8008,4
8022,6
8057,4
8079,4
8080,2
8081,2
8099,4
8104,0
8112,3
8117,4
8122,4
8140,5
8175,4
8208,5
8224,4
8231,4
8247,2
8266,3
8278,2
8280,3
8288,4
8324,3
8344,4
8345,4
8382,3
8410,2
8415,2
8417,4
8427,4
8447,2
8473,5
8488,0
8513,0
8518,5
8521,4
8531,1
8543,1
8562,4
8597,4
8605,4
8672,4
8696,4
8729,3
8763,4
8770,4
8793,4
8822,5
8832,4
8849,4
8877,3
8886,4
8891,4
8896,3
8919,4
8922,4
8937,2
8972,4
9002,4
9031,3
9067,4
9078,4
9121,5
9135,4
9153,2
9154,6
9160,5
9164,4
9165,4
9196,4
9204,4
9241,4
9289,4
9305,5
9328,3
9342,4
9368,4
9401,4
9403,0
9409,4
9453,4
9461,4
9465,4
9510,2
9524,6
9564,3
9678,4
9706,5
9730,4
9736,4
9752,2
9797,3
9810,4
9845,4
9859,2
9946,4
9965,4
10001,4
10012,5
10030,1
10041,4
10042,4
10047,4
10053,4
10061,3
10081,3
10108,4
10111,1
10115,4
10152,3
10161,4
10177,4
10178,3
10180,6
10190,4
10204,2
10216,4
10241,0
10257,1
10268,4
10290,4
10293,5
10349,4
10426,4
10441,4
10447,4
10452,4
10498,3
10500,4
10521,5
10538,3
10541,4
10554,0
10569,0
10597,3
10613,2
10629,5
10634,1
10640,4
10651,4
10664,4
10671,1
10685,3
10687,4
10689,5
10692,4
10698,5
10701,4
10703,5
10712,3
10730,4
10738,3
10741,4
10770,4
10830,4
10838,4
10840,0
10858,4
10873,5
10880,4
10891,2
10908,3
10924,4
10931,4
10938,3
10982,4
10989,5
10990,4
10996,4
10999,4
11024,4
11026,4
11049,0
11053,4
11077,3
11094,2
11098,4
11103,4
11106,2
11109,0
11116,4
11134,3
11144,3
11174,2
11195,3
11215,4
11217,5
11231,3
11245,4
11284,4
11290,5
11291,4
11301,4
11315,4
11338,4
11346,4
11350,4
11368,4
11409,4
11424,5
11428,4
11447,4
11472,5
11486,5
11536,5
11575,4
11608,4
11625,4
11628,4
11656,4
11667,3
11694,3
11695,4
11699,4
11700,4
11701,4
11705,2
11714,3
11717,5
11761,5
11772,4
11793,4
11800,0
11817,6
11886,4
11899,4
11923,4
11935,5
11936,6
11983,0
12015,4
12016,4
12070,4
12083,4
12101,5
12128,2
12138,4
12195,4
12207,4
12215,4
