ID,cluster
22,13
42,6
56,11
58,4
64,9
88,0
95,6
163,12
198,12
202,10
209,0
218,7
223,6
228,4
245,9
246,9
322,10
325,10
342,12
344,12
352,5
358,5
362,6
451,9
471,7
474,7
500,13
518,1
519,6
545,6
559,0
602,10
604,7
611,12
618,6
635,1
654,6
664,7
675,12
720,0
728,9
774,6
804,10
810,6
823,7
827,0
841,4
860,9
871,6
873,0
885,10
890,6
895,0
896,8
901,11
903,7
965,11
989,11
992,8
1001,6
1013,11
1019,10
1029,7
1035,13
1091,1
1099,5
1109,8
1118,9
1124,13
1154,13
1169,1
1180,0
1185,2
1195,12
1199,1
1216,7
1224,5
1236,4
1248,7
1258,1
1271,4
1383,2
1410,2
1420,12
1423,10
1432,4
1441,10
1451,2
1467,7
1501,6
1507,7
1518,5
1526,4
1530,6
1531,13
1548,8
1563,8
1566,6
1567,6
1577,12
1580,12
1596,3
1640,1
1645,12
1648,12
1653,10
1685,5
1687,13
1691,3
1708,10
1710,2
1732,13
1739,12
1745,8
1768,4
1786,7
1788,8
1803,6
1810,8
1812,12
1820,6
1834,1
1841,10
1853,2
1858,10
1861,4
1892,9
1893,4
1906,6
1907,10
1910,6
1923,3
1957,6
1959,3
1979,9
1981,10
1998,6
2002,8
2064,8
2102,6
2111,6
2115,11
2194,7
2219,1
2220,12
2233,6
2246,4
2252,7
2313,6
2319,2
2341,10
2346,10
2374,11
2433,5
2453,8
2466,6
2467,4
2495,4
2497,0
2506,12
2516,3
2537,6
2550,0
2551,12
2586,6
2596,10
2599,11
2609,9
2614,12
2615,9
2621,5
2641,6
2678,10
2693,7
2699,10
2748,0
2751,8
2752,1
2764,2
2792,7
2846,8
2850,1
2865,10
2868,0
2874,3
2935,6
2938,8
2944,7
2947,6
2960,6
2989,12
3007,8
3036,6
3052,12
3062,6
3073,6
3074,0
3080,8
3085,8
3124,12
3134,6
3135,6
3137,10
3150,2
3205,6
3219,2
3220,8
3230,6
3258,0
3267,6
3289,11
3294,6
3310,0
3313,10
3366,8
3367,5
3377,0
3386,1
3387,0
3405,10
3410,7
3427,11
3433,8
3447,7
3454,9
3456,9
3467,8
3487,1
3506,11
3546,3
3614,13
3657,8
3658,13
3660,4
3691,10
3719,7
3732,9
3747,2
3770,6
3787,7
3793,11
3823,7
3863,10
3884,5
3895,6
3901,7
3908,11
3914,7
3961,4
3966,6
3969,8
3976,2
3979,8
4064,10
4069,2
4107,6
4141,12
4158,6
4161,6
4167,13
4172,1
4178,6
4189,6
4190,4
4202,7
