ID,shapelet_cluster
151687,0
67505,1
86402,1
265209,0
5873,1
279832,2
299121,0
208761,2
29960,2
81772,0
267853,0
198365,1
17870,0
26979,0
44909,0
156736,0
127121,0
125337,0
126837,3
57677,1
250691,2
265571,2
53954,1
275008,0
92667,1
223421,0
140056,0
114180,0
104696,2
262880,1
201503,1
165105,1
36386,2
164387,2
247868,0
252354,2
21888,0
37699,1
218084,1
292216,2
86372,0
121827,0
266539,1
187515,2
134933,1
58243,1
280587,1
35973,1
177830,0
119976,1
108718,1
132110,1
250266,1
281360,0
148536,0
61689,0
137672,0
21175,1
98358,0
102019,0
89156,1
1567,2
140878,0
269250,0
22023,1
228849,0
23539,2
95278,0
118619,2
895,1
196514,2
165257,1
171323,0
273754,1
27431,0
255825,0
175729,0
21999,1
199782,0
255469,1
289652,2
97280,2
261445,1
200033,1
42207,2
233918,1
228075,0
104805,0
74560,1
165790,0
123243,1
159483,0
93671,2
74186,1
42348,1
127713,0
110141,2
179685,0
170457,0
190578,2
54744,0
213124,0
124739,1
227151,0
104473,2
201874,0
120215,1
25936,0
225093,0
59598,1
33592,2
89432,0
252021,1
114247,1
200651,0
23820,0
87687,2
9706,2
32013,3
289679,1
80428,0
56005,2
92373,0
131074,1
87268,0
240030,0
278667,0
44965,0
116157,0
179882,0
224557,1
199435,2
602,0
69162,0
255647,0
20754,1
297507,0
191743,2
38031,1
298156,1
7747,0
197859,2
31844,0
290961,1
63720,0
300390,0
245925,1
265807,0
276028,0
244350,2
199366,2
52973,2
201693,1
253880,0
189579,1
83475,0
154248,1
235572,0
13938,0
288723,0
45974,1
125977,1
288813,2
226324,0
299446,1
246482,2
69634,2
120463,1
142571,2
181128,1
199042,0
42422,0
42884,2
225621,0
124806,0
209532,1
258944,0
146131,0
77334,0
259701,0
153798,0
244564,0
229406,1
262677,1
211257,1
260126,0
183811,1
190827,2
70778,1
210336,1
271234,2
80376,1
161548,1
86132,0
102378,2
230022,0
152459,2
236699,2
61061,0
160755,0
125983,2
85750,0
63433,0
269897,0
21383,0
298117,2
128779,2
44727,1
236373,2
157659,0
155560,2
293265,1
241621,0
264292,0
49573,1
123813,0
82219,0
281218,2
215575,1
139607,1
144170,2
254358,1
296296,1
56968,2
26056,0
206469,1
198515,1
675,2
118408,0
130351,0
155030,1
163310,1
226633,0
62574,2
70164,2
303759,2
83265,3
30294,0
242219,2
86600,2
233196,2
135205,0
229649,0
296932,0
112347,2
246314,1
139583,2
95252,0
242045,1
101669,0
203337,0
284765,1
40130,0
73638,2
264243,0
274316,1
254094,0
32437,2
283050,2
303810,3
92299,0
138287,0
166000,0
190510,2
242308,2
65826,1
43777,1
201343,0
141382,0
102085,1
5546,1
97048,1
126735,0
222430,1
138623,1
277827,0
287940,0
154202,2
279130,0
181536,2
59418,0
176106,1
154904,1
62365,1
282219,2
242950,0
109646,1
31528,2
201907,0
176339,1
38033,1
217887,2
229392,0
292205,1
67960,0
86336,0
268176,1
114536,1
167609,1
273976,0
185472,0
57769,2
290374,0
151404,0
141711,1
64999,2
141319,1
56007,2
257302,1
93664,0
256310,0
211897,0
190470,1
164428,1
62482,0
252089,1
299999,2
114121,1
26260,2
21868,1
277079,0
38544,2
278816,0
10924,1
240707,0
152633,0
23332,2
49681,1
280675,1
10838,1
262001,1
231832,0
119885,0
3793,0
71753,1
259394,1
254706,2
266866,1
108273,1
208891,0
257596,3
96741,2
228279,0
163019,1
78300,1
5489,1
270021,0
177606,0
6623,1
206868,0
79258,1
297261,2
10569,1
221510,0
277792,2
102010,0
654,1
237954,1
304460,1
293384,2
297285,0
283005,0
120809,0
123748,1
36262,2
38679,0
197334,0
130964,1
110562,1
153706,2
82807,2
111472,1
288009,0
80863,0
222831,1
22338,0
291918,0
259768,1
286742,1
274024,2
257952,0
53172,1
224335,1
138546,2
101831,1
4969,1
62407,0
284988,2
229551,0
206556,2
271876,0
165413,1
195015,2
297733,0
156202,1
128529,0
73602,1
142229,1
119181,0
59362,0
116322,0
155828,0
88063,1
17505,0
34380,1
93003,2
84061,2
17162,0
77962,0
